Provincia;FALLECIDOS;AÑO
La Vega;123;2022
María Trinidad Sánchez;42;2022
Monseñor Nouel;62;2022
Monte Plata;53;2022
Montecristi;37;2022
Pedernales;6;2022
Peravia;66;2022
Puerto Plata;74;2022
Samaná;49;2022
San Cristóbal;116;2022
San José de Ocoa;15;2022
San Juan;50;2022
San Pedro de Macorís;62;2022
Sánchez Ramírez;29;2022
Santiago;121;2022
Santiago Rodríguez;20;2022
Santo Domingo;238;2022
Valverde;28;2022
Azua;40;2023
Bahoruco;17;2023
Barahona;21;2023
Dajabón;16;2023
Distrito Nacional;54;2023
Duarte;35;2023
El Seibo;14;2023
Elías Piña;6;2023
Espaillat;40;2023
Hato Mayor;15;2023
Hermanas Mirabal;16;2023
Independencia;16;2023
La Altagracia;89;2023
La Romana;34;2023
La Vega;85;2023
María Trinidad Sánchez;35;2023
Monseñor Nouel;41;2023
Monte Plata;29;2023
Montecristi;34;2023
Pedernales;10;2023
Peravia;50;2023
Puerto Plata;60;2023
Samaná;18;2023
San Cristóbal;104;2023
San José de Ocoa;11;2023
San Juan;41;2023
San Pedro de Macorís;38;2023
Sánchez Ramírez;20;2023
Santiago;78;2023
Santiago Rodríguez;10;2023
Santo Domingo;161;2023
Valverde;37;2023
